ano,estado,tipo,tipo2,quantidade
2001,SANTA CATARINA,Cédulas - 1a. família,100,22
2001,SÃO PAULO,Cédulas - 1a. família,1,40
2001,SÃO PAULO,Cédulas - 1a. família,5,10216
2001,SÃO PAULO,Cédulas - 1a. família,10,83853
2001,SÃO PAULO,Cédulas - em polímero,10,4589
2001,SÃO PAULO,Cédulas - 1a. família,50,53865
2001,SÃO PAULO,Cédulas - 1a. família,100,704
2001,SERGIPE,Cédulas - 1a. família,5,84
2001,SERGIPE,Cédulas - 1a. família,10,1174
2001,SERGIPE,Cédulas - em polímero,10,63
2001,SERGIPE,Cédulas - 1a. família,50,684
2001,SERGIPE,Cédulas - 1a. família,100,4
2001,TOCANTINS,Cédulas - 1a. família,5,51
2001,TOCANTINS,Cédulas - 1a. família,10,336
2001,TOCANTINS,Cédulas - em polímero,10,1
2001,TOCANTINS,Cédulas - 1a. família,50,389
2001,TOCANTINS,Cédulas - 1a. família,100,2
2002,ACRE,Cédulas - 1a. família,5,1
2002,ACRE,Cédulas - 1a. família,10,26
2002,ACRE,Cédulas - 1a. família,50,133
2002,ACRE,Cédulas - 1a. família,100,3
2002,ALAGOAS,Cédulas - 1a. família,1,2
2002,ALAGOAS,Cédulas - 1a. família,5,112
2002,ALAGOAS,Cédulas - 1a. família,10,779
2002,ALAGOAS,Cédulas - em polímero,10,5
2002,ALAGOAS,Cédulas - 1a. família,20,36
2002,ALAGOAS,Cédulas - 1a. família,50,702
2002,ALAGOAS,Cédulas - 1a. família,100,6
2002,AMAPÁ,Cédulas - 1a. família,10,36
2002,AMAPÁ,Cédulas - 1a. família,50,67
2002,AMAPÁ,Cédulas - 1a. família,100,1
2002,AMAZONAS,Cédulas - 1a. família,1,2
2002,AMAZONAS,Cédulas - 1a. família,2,33
2002,AMAZONAS,Cédulas - 1a. família,5,232
2002,AMAZONAS,Cédulas - 1a. família,10,319
2002,AMAZONAS,Cédulas - em polímero,10,2
2002,AMAZONAS,Cédulas - 1a. família,20,1
2002,AMAZONAS,Cédulas - 1a. família,50,240
2002,AMAZONAS,Cédulas - 1a. família,100,259
2002,BAHIA,Cédulas - 1a. família,1,9
2002,BAHIA,Cédulas - 1a. família,2,13
2002,BAHIA,Cédulas - 1a. família,5,2319
2002,BAHIA,Cédulas - em polímero,10,86
2002,BAHIA,Cédulas - 1a. família,20,255
2002,BAHIA,Cédulas - 1a. família,50,5718
2002,BAHIA,Cédulas - 1a. família,100,26
2002,CEARÁ,Cédulas - 1a. família,2,3
2002,CEARÁ,Cédulas - 1a. família,5,302
2002,CEARÁ,Cédulas - 1a. família,10,4214
2002,CEARÁ,Cédulas - em polímero,10,23
2002,CEARÁ,Cédulas - 1a. família,20,317
2002,CEARÁ,Cédulas - 1a. família,50,2268
2002,CEARÁ,Cédulas - 1a. família,100,35
2002,DISTRITO FEDERAL,Cédulas - 1a. família,1,6
2002,DISTRITO FEDERAL,Cédulas - 1a. família,2,26
2002,DISTRITO FEDERAL,Cédulas - 1a. família,5,1832
2002,DISTRITO FEDERAL,Cédulas - 1a. família,10,7587
2002,DISTRITO FEDERAL,Cédulas - em polímero,10,31
